puzzle,solution,length of solution,time(s),Nodes expanded,,,length of solution,time(s),Nodes expanded,,length of solution,average time(s),average Nodes expanded
"(1, 6, 3, 4, 5, 14, 8, 2, 9, 7, 0, 10, 13, 15, 12, 11)","['LEFT', 'UP', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN']",22,0.055461168,431,,,4,0.000148773,4,,,,
"(1, 3, 7, 4, 6, 2, 11, 8, 5, 10, 14, 12, 9, 13, 15, 0)","['LEFT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",12,0.000362873,13,,,4,0.000151873,4,,5.25E-01,,
"(9, 1, 2, 4, 13, 6, 3, 0, 5, 12, 8, 7, 10, 11, 14, 15)","['DOWN', 'LEFT', 'LEFT', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",24,0.002873182,72,,,4,0.000141859,4,,,,
"(1, 2, 4, 7, 5, 6, 3, 8, 13, 11, 0, 12, 10, 9, 14, 15)","['LEFT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN']",16,0.001852274,52,,,4,0.000131369,4,,,,
"(6, 3, 7, 4, 2, 0, 1, 8, 5, 14, 12, 15, 9, 10, 13, 11)","['RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'RIGHT']",24,0.010089874,173,,,4,0.000262499,4,,,,
"(1, 2, 3, 4, 6, 10, 7, 11, 5, 13, 14, 8, 9, 0, 15, 12)","['UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",16,0.003936768,92,,,4,0.000183582,4,,,,
"(2, 3, 4, 8, 5, 1, 10, 12, 9, 14, 6, 15, 13, 7, 11, 0)","['LEFT', 'LEFT', 'UP', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",24,0.232799768,919,,,4,0.000173569,4,,,,
"(0, 9, 3, 4, 2, 5, 11, 7, 1, 6, 15, 8, 13, 10, 14, 12)","['DOWN', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN']",20,0.00549674,115,,,4,0.000154734,4,,,,
"(1, 6, 2, 4, 3, 7, 8, 0, 5, 9, 15, 11, 13, 10, 14, 12)","['LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT', 'UP', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN']",16,0.001312494,40,,,4,0.000167608,4,,,,
"(1, 2, 0, 3, 5, 7, 15, 4, 9, 6, 12, 8, 13, 10, 11, 14)","['RIGHT', 'DOWN', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",16,0.003572941,82,,,4,0.000144005,4,,,,
"(1, 6, 2, 3, 5, 10, 8, 4, 13, 9, 15, 11, 14, 0, 12, 7)","['LEFT', 'UP', 'RIGHT', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",18,0.000645161,22,,,4,0.000112534,4,,,,
"(1, 3, 6, 2, 5, 7, 8, 11, 9, 10, 4, 12, 13, 14, 15, 0)","['UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN']",20,0.037508488,351,,,4,0.000198364,4,,,,
"(1, 2, 3, 4, 5, 11, 10, 7, 9, 6, 0, 8, 13, 14, 15, 12)","['UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN']",8,0.000299692,8,,,4,0.000150442,4,,,,
"(2, 5, 3, 4, 1, 6, 7, 8, 13, 9, 11, 12, 10, 14, 15, 0)","['LEFT', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'UP', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",14,0.000638008,23,,,6,0.000211954,6,,,,
"(1, 6, 2, 4, 5, 3, 7, 8, 9, 13, 0, 12, 14, 10, 11, 15)","['UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'UP', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT']",16,0.012287617,183,,,6,0.000210762,6,,,,
"(1, 6, 2, 4, 9, 5, 3, 8, 0, 11, 12, 15, 13, 14, 7, 10)","['UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",22,0.172718525,790,,,6,0.000197649,6,,,,
"(10, 1, 2, 4, 11, 0, 3, 8, 6, 7, 5, 12, 9, 13, 14, 15)","['LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",20,0.000911236,28,,,6,0.000177622,6,,,,
"(2, 3, 6, 4, 1, 5, 7, 8, 9, 11, 0, 14, 13, 10, 15, 12)","['UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT']",16,0.001386404,41,,,6,0.00017643,6,,,,
"(5, 2, 0, 3, 9, 7, 1, 4, 13, 11, 6, 8, 14, 10, 15, 12)","['DOWN', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'LEFT', 'UP', 'UP', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN']",20,0.005702972,122,,,6,0.000174046,6,,,,
"(1, 2, 3, 4, 6, 7, 8, 0, 5, 9, 10, 12, 13, 14, 11, 15)","['LEFT', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",8,0.000275135,8,,,6,0.00017333,6,,,,
"(1, 2, 4, 8, 6, 10, 3, 12, 7, 15, 0, 11, 5, 9, 13, 14)","['LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT', 'UP', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT']",24,0.068692446,485,,,6,0.000189543,6,,,,
"(1, 2, 0, 12, 5, 6, 4, 3, 10, 14, 8, 7, 9, 11, 13, 15)","['DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",20,0.001105309,32,,,6,0.000188828,6,,,,
"(1, 2, 3, 4, 5, 0, 6, 8, 9, 10, 7, 12, 13, 14, 11, 15)","['RIGHT', 'DOWN', 'DOWN', 'RIGHT']",4,0.00019002,4,,,6,0.000205517,6,,,,
"(10, 2, 8, 3, 1, 5, 6, 4, 9, 14, 7, 12, 13, 0, 11, 15)","['UP', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT']",20,0.00727725,130,,,6,0.000165462,6,,,,
