puzzle,solution,length of solution,time(s)
"(1, 2, 3, 4, 9, 5, 7, 8, 0, 6, 10, 15, 13, 14, 12, 11)","['UP', 'RIGHT', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN']",10,0.015615463256835938
"(5, 1, 3, 4, 9, 2, 7, 8, 0, 6, 10, 11, 13, 14, 15, 12)","['UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'DOWN']",8,0.0
"(1, 8, 4, 6, 5, 0, 2, 3, 9, 10, 7, 12, 13, 14, 11, 15)","['RIGHT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",16,0.046880245208740234
"(2, 3, 7, 4, 1, 6, 11, 8, 0, 13, 10, 12, 5, 9, 14, 15)","['DOWN', 'RIGHT', 'UP', 'RIGHT', 'UP', 'UP', 'LEFT', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",14,0.03124833106994629
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 15, 11, 13, 0, 14, 12)","['RIGHT', 'UP', 'RIGHT', 'DOWN']",4,0.0
"(1, 2, 3, 4, 5, 6, 7, 0, 9, 10, 11, 8, 13, 14, 15, 12)","['DOWN', 'DOWN']",2,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15)","['RIGHT', 'RIGHT']",2,0.0
"(1, 2, 3, 4, 5, 6, 8, 12, 9, 10, 11, 7, 13, 14, 15, 0)","['LEFT', 'UP', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT']",8,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 0, 10, 11, 12, 9, 13, 14, 15)","['DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",4,0.0
"(5, 1, 2, 4, 9, 6, 3, 8, 13, 10, 7, 11, 14, 15, 12, 0)","['LEFT', 'LEFT', 'LEFT', 'UP', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN']",12,0.0
"(1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12)","['DOWN', 'RIGHT', 'RIGHT', 'DOWN']",4,0.01565694808959961
"(1, 6, 2, 3, 5, 0, 8, 4, 9, 10, 7, 11, 13, 14, 15, 12)","['UP', 'RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'DOWN']",8,0.0
"(1, 2, 7, 3, 9, 5, 6, 4, 0, 10, 11, 8, 13, 14, 15, 12)","['UP', 'RIGHT', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN']",8,0.0
"(1, 6, 2, 3, 5, 10, 7, 4, 9, 14, 8, 12, 13, 15, 11, 0)","['UP', 'LEFT', 'DOWN', 'LEFT', 'UP', 'UP', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'DOWN', 'DOWN']",12,0.015618324279785156
"(1, 2, 3, 4, 9, 5, 7, 8, 0, 6, 14, 12, 13, 11, 10, 15)","['RIGHT', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",12,0.015644311904907227
"(1, 2, 3, 4, 5, 6, 12, 7, 9, 10, 0, 15, 13, 14, 8, 11)","['DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT']",10,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 0, 9, 11, 12, 13, 10, 14, 15)","['RIGHT', 'DOWN', 'RIGHT', 'RIGHT']",4,0.0
"(1, 3, 7, 4, 5, 2, 14, 0, 9, 6, 12, 8, 13, 11, 10, 15)","['DOWN', 'LEFT', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'RIGHT']",14,0.015625476837158203
"(1, 2, 0, 3, 5, 6, 7, 4, 9, 10, 11, 12, 13, 14, 8, 15)","['DOWN', 'DOWN', 'DOWN', 'RIGHT', 'UP', 'LEFT', 'UP', 'UP', 'RIGHT', 'DOWN', 'DOWN', 'DOWN']",12,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 13, 9, 12, 15, 14, 11, 10, 0)","['UP', 'LEFT', 'DOWN', 'LEFT', 'LEFT', 'UP', 'RIGHT', 'RIGHT', 'DOWN', 'RIGHT']",10,0.0
"(1, 2, 3, 4, 6, 10, 7, 8, 5, 13, 0, 12, 9, 14, 11, 15)","['DOWN', 'LEFT', 'UP', 'UP', 'LEFT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",10,0.0
"(1, 2, 3, 4, 5, 6, 11, 0, 9, 10, 8, 7, 13, 14, 15, 12)","['DOWN', 'LEFT', 'UP', 'RIGHT', 'DOWN', 'DOWN']",6,0.0
"(1, 2, 3, 4, 5, 0, 7, 8, 10, 6, 11, 12, 9, 13, 14, 15)","['DOWN', 'LEFT', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",6,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 0, 12, 13, 14, 11, 15)","['DOWN', 'RIGHT']",2,0.0
"(0, 6, 3, 4, 2, 1, 7, 8, 5, 10, 11, 12, 9, 13, 14, 15)","['DOWN', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT', 'RIGHT']",10,0.015624046325683594
"(0, 1, 2, 4, 5, 7, 3, 8, 9, 6, 10, 12, 13, 14, 11, 15)","['RIGHT', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'RIGHT']",8,0.0
"(0, 1, 2, 4, 5, 6, 3, 7, 9, 10, 12, 8, 13, 14, 11, 15)","['RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT']",8,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15)","['RIGHT', 'RIGHT']",2,0.0
"(1, 2, 3, 4, 5, 10, 6, 8, 13, 9, 7, 11, 14, 0, 15, 12)","['LEFT', 'UP', 'RIGHT', 'UP', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN']",8,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 10, 11, 13, 0, 15, 12)","['UP', 'RIGHT', 'RIGHT', 'DOWN']",4,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 15, 0, 14, 13, 10, 12, 11)","['RIGHT', 'DOWN', 'LEFT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'DOWN']",10,0.015624523162841797
"(1, 2, 4, 7, 5, 6, 12, 3, 9, 10, 0, 8, 13, 14, 11, 15)","['UP', 'RIGHT', 'UP', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'LEFT', 'DOWN', 'RIGHT']",10,0.0
"(0, 1, 2, 4, 5, 6, 3, 7, 9, 10, 11, 8, 13, 14, 15, 12)","['RIGHT', 'RIGHT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN']",6,0.0
"(1, 2, 3, 4, 5, 0, 7, 8, 9, 6, 10, 11, 13, 14, 15, 12)","['DOWN', 'RIGHT', 'RIGHT', 'DOWN']",4,0.0
"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 0, 14, 15)","['RIGHT', 'RIGHT']",2,0.0
"(2, 3, 7, 4, 6, 0, 5, 8, 1, 9, 11, 12, 13, 10, 14, 15)","['LEFT', 'DOWN', 'RIGHT', 'UP', 'RIGHT', 'UP', 'LEFT', 'LEFT', 'DOWN', 'RIGHT', 'DOWN', 'DOWN', 'RIGHT', 'RIGHT']",14,0.03128361701965332
